Year,Region,Model,Unit_Sold,Price_USD,Revenue,Sales_Classification
2016,Asia,5 Series,8300,98740,819542000,High
2013,North America,i8,3428,79219,271562732,Low
2022,North America,5 Series,6994,113265,792175410,Low
2024,Middle East,X3,4047,60971,246749637,Low
2020,South America,7 Series,3080,49898,153685840,Low
2017,Middle East,5 Series,1232,42926,52884832,Low
2022,Europe,i8,7949,55064,437703736,High
2014,Asia,M5,632,102778,64955696,Low
2016,South America,X3,8944,116482,1041815008,High
2019,Europe,i8,4411,96257,424589627,Low
2012,Middle East,3 Series,500,117995,58997500,Low
2016,North America,i8,8252,74539,615095828,High
2020,North America,7 Series,8111,100015,811221665,High
2020,Africa,5 Series,4668,119486,557760648,Low
2017,Asia,X1,7291,34078,248462698,High
2014,North America,M3,7765,94997,737651705,High
2013,Asia,X5,5561,114844,638647484,Low
2017,North America,M5,9755,81934,799266170,High
2017,North America,5 Series,4880,111326,543270880,Low
2012,Africa,X5,7104,82677,587337408,High
2015,North America,X3,8635,88091,760665785,High
2014,Africa,X1,1113,62941,70053333,Low
2011,Europe,M5,9383,49507,464524181,High
2017,North America,7 Series,7521,101791,765570111,High
2021,South America,X5,6273,47527,298136871,Low
2023,Middle East,X3,4645,85370,396543650,Low
2015,Asia,M3,8897,116902,1040077094,High
2011,North America,X1,6481,107465,696480665,Low
2021,Asia,M5,9469,32076,303727644,High
2014,Asia,M3,1440,64049,92230560,Low
2010,South America,i8,5006,102215,511688290,Low
2021,South America,i8,448,64577,28930496,Low
2019,Asia,M5,4091,53277,217956207,Low
2015,Asia,i8,3384,118788,401978592,Low
2022,Middle East,X1,4926,116432,573544032,Low
2021,South America,M5,4561,108240,493682640,Low
2018,Middle East,X3,8046,52717,424160982,High
2010,Middle East,i8,2278,37949,86447822,Low
2020,Africa,M3,3929,86748,340832892,Low
2020,Middle East,X5,7110,35401,251701110,High
2024,Middle East,i3,173,69578,12036994,Low
2019,South America,M5,5946,37177,221054442,Low
2021,Africa,X5,2913,60278,175589814,Low
2021,Middle East,X5,7627,96256,734144512,High
2024,South America,X5,2155,82675,178164625,Low
2023,Europe,i8,7168,118317,848096256,High
2023,North America,i3,8283,79039,654680037,High
2024,Asia,5 Series,648,86855,56282040,Low
2023,Africa,X6,7933,112542,892795686,High
2012,Asia,i3,8438,93508,789020504,High
2021,Asia,X3,6782,119692,811751144,Low
2016,Africa,M3,3153,49278,155373534,Low
2013,Middle East,i8,5887,44269,260611603,Low
2018,South America,i3,608,46127,28045216,Low
2012,Middle East,i8,3291,100747,331558377,Low
2014,South America,M5,3754,96739,363158206,Low
2012,Middle East,X5,4125,57537,237340125,Low
2016,South America,X6,9762,46263,451619406,High
2014,Europe,M3,9390,65464,614706960,High
2018,Africa,3 Series,3293,54762,180331266,Low
2016,South America,M3,9470,93915,889375050,High
2011,Middle East,X6,5425,117237,636010725,Low
2013,South America,i8,425,34193,14532025,Low
2018,Asia,X6,4935,89970,444001950,Low
2021,North America,3 Series,660,65089,42958740,Low
2023,Europe,3 Series,4266,86402,368590932,Low
2011,Asia,M3,2191,44322,97109502,Low
2019,Asia,X3,1932,111352,215132064,Low
2018,Middle East,7 Series,6962,50620,352416440,Low
2019,South America,3 Series,1703,44950,76549850,Low
2014,Europe,X6,8589,101523,871981047,High
2011,Middle East,5 Series,2011,31815,63979965,Low
2013,Asia,7 Series,1564,118363,185119732,Low
2021,South America,i3,945,43355,40970475,Low
2024,Europe,X1,4289,84346,361759994,Low
2021,North America,i3,3748,66155,247948940,Low
2016,Europe,X1,3476,101753,353693428,Low
2021,North America,X3,5759,68274,393189966,Low
2022,Middle East,X3,9420,78144,736116480,High
2017,North America,M3,9797,87604,858256388,High
2024,North America,M5,7944,90388,718042272,High
2012,South America,7 Series,6709,102551,688014659,Low
2023,North America,7 Series,4823,117121,564874583,Low
2010,Europe,X6,1048,68106,71375088,Low
2013,Middle East,i8,9545,78729,751468305,High
2011,North America,M5,2167,71912,155833304,Low
2017,South America,M5,3140,94286,296058040,Low
2013,South America,X6,7821,50923,398268783,High
2011,Middle East,i8,2085,37887,78994395,Low
2023,Europe,X3,8030,101473,814828190,High
2015,Middle East,i8,5409,96965,524483685,Low
2015,Middle East,X5,4367,76799,335381233,Low
2019,North America,X3,1472,119927,176532544,Low
2013,Africa,i3,455,72385,32935175,Low
2015,Asia,i3,7218,63696,459757728,High
2022,Asia,X6,3389,35951,121837939,Low
2024,Asia,X5,8581,95900,822917900,High
2011,Europe,i8,1431,44846,64174626,Low
2019,Africa,X5,2775,95908,266144700,Low
