Model,Category,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM
5 Series,Sedan,Petrol,Manual,3.5,151748
i8,Sedan,Hybrid,Automatic,1.6,121671
5 Series,Sedan,Petrol,Automatic,4.5,10991
X3,SUV,Petrol,Automatic,1.7,27255
7 Series,Sedan,Diesel,Manual,2.1,122131
5 Series,Sedan,Diesel,Manual,1.9,171362
i8,Hybrid Sports Car,Diesel,Manual,1.8,196741
M5,Performance Sedan,Diesel,Automatic,1.6,121156
X3,SUV,Diesel,Automatic,1.7,48073
i8,Hybrid Sports Car,Electric,Manual,3,35700
3 Series,Sedan,Electric,Manual,2.4,101595
i8,Hybrid Sports Car,Hybrid,Manual,1.9,116863
7 Series,Sedan,Diesel,Automatic,3.8,27403
5 Series,Sedan,Electric,Manual,2.3,163444
X1,SUV,Electric,Automatic,1.6,107918
M3,Performance Sedan,Hybrid,Manual,3,154050
X5,SUV,Electric,Manual,2.6,110142
M5,Performance Sedan,Diesel,Automatic,2.6,86900
5 Series,Sedan,Electric,Manual,3.1,57843
X5,SUV,Electric,Manual,3.8,142243
X3,SUV,Diesel,Automatic,3.7,123910
X1,SUV,Petrol,Manual,4.8,13568
M5,Performance Sedan,Electric,Automatic,3.3,78042
7 Series,Sedan,Petrol,Automatic,3.2,58288
X5,SUV,Diesel,Manual,2.2,184981
X3,SUV,Electric,Automatic,4.1,194398
M3,Performance Sedan,Hybrid,Manual,2,41514
X1,SUV,Hybrid,Automatic,3.2,104742
M5,Performance Sedan,Hybrid,Automatic,3,105162
M3,Performance Sedan,Electric,Automatic,3.8,90282
i8,Hybrid Sports Car,Hybrid,Automatic,4.7,16020
i8,Hybrid Sports Car,Diesel,Manual,4.8,3188
M5,Performance Sedan,Diesel,Manual,2.1,97294
i8,Hybrid Sports Car,Hybrid,Automatic,2.4,194395
X1,SUV,Hybrid,Manual,4.3,143013
M5,Performance Sedan,Petrol,Automatic,3.3,88342
X3,SUV,Petrol,Manual,3.1,33370
i8,Hybrid Sports Car,Petrol,Automatic,4,98514
M3,Performance Sedan,Petrol,Manual,3.6,82668
X5,SUV,Hybrid,Automatic,4.9,132299
i3,Electric Hatchback,Petrol,Automatic,3.5,135958
M5,Performance Sedan,Diesel,Manual,3.1,192690
X5,SUV,Diesel,Manual,3.4,99697
X5,SUV,Petrol,Automatic,4.3,44279
X5,SUV,Hybrid,Manual,3.6,111661
i8,Hybrid Sports Car,Diesel,Automatic,3.8,78573
i3,Electric Hatchback,Petrol,Automatic,4.9,94453
5 Series,Sedan,Electric,Manual,3.7,157789
X6,SUV-Coupe,Hybrid,Automatic,2.8,84367
i3,Electric Hatchback,Hybrid,Manual,3.9,193905
X3,SUV,Hybrid,Automatic,3.8,57759
M3,Performance Sedan,Hybrid,Manual,1.5,113832
i8,Hybrid Sports Car,Petrol,Manual,3.1,42427
i3,Electric Hatchback,Petrol,Manual,4.1,1428
i8,Hybrid Sports Car,Diesel,Automatic,3.2,110845
M5,Performance Sedan,Electric,Automatic,4.2,125379
X5,SUV,Petrol,Manual,3.1,107014
X6,SUV-Coupe,Hybrid,Automatic,4.9,180186
M3,Performance Sedan,Electric,Manual,2.5,74474
3 Series,Sedan,Electric,Manual,1.8,117061
M3,Performance Sedan,Electric,Automatic,3,102675
X6,SUV-Coupe,Diesel,Automatic,3.4,27706
i8,Hybrid Sports Car,Diesel,Manual,2.7,150761
X6,SUV-Coupe,Electric,Manual,2.3,10027
3 Series,Sedan,Hybrid,Automatic,3.9,87632
3 Series,Sedan,Electric,Manual,2.8,128295
M3,Performance Sedan,Diesel,Automatic,3.7,40915
X3,SUV,Electric,Automatic,4.2,88705
7 Series,Sedan,Petrol,Manual,4.2,94859
3 Series,Sedan,Hybrid,Manual,2.8,193021
X6,SUV-Coupe,Diesel,Manual,3.5,178427
5 Series,Sedan,Hybrid,Automatic,3.1,139212
7 Series,Sedan,Hybrid,Manual,4.5,144832
