Model,Year,Region,Color
5 Series,2016,Asia,Red
i8,2013,North America,Red
5 Series,2022,North America,Blue
X3,2024,Middle East,Blue
7 Series,2020,South America,Black
5 Series,2017,Middle East,Silver
i8,2022,Europe,White
M5,2014,Asia,Black
X3,2016,South America,White
i8,2019,Europe,White
3 Series,2012,Middle East,White
i8,2016,North America,Blue
7 Series,2020,North America,Silver
5 Series,2020,Africa,White
X1,2017,Asia,Black
M3,2014,North America,Silver
X5,2013,Asia,Blue
M5,2017,North America,Red
5 Series,2017,North America,Silver
X5,2012,Africa,Blue
X3,2015,North America,Red
X1,2014,Africa,White
M5,2011,Europe,Grey
7 Series,2017,North America,Black
X5,2021,South America,Red
X3,2023,Middle East,White
M3,2015,Asia,Red
X1,2011,North America,Black
M5,2021,Asia,Red
M3,2014,Asia,White
i8,2010,South America,Black
i8,2021,South America,Silver
M5,2019,Asia,Red
i8,2015,Asia,White
X1,2022,Middle East,Grey
M5,2021,South America,Grey
X3,2018,Middle East,White
i8,2010,Middle East,Grey
M3,2020,Africa,Black
X5,2020,Middle East,White
i3,2024,Middle East,Red
M5,2019,South America,White
X5,2021,Africa,Red
X5,2021,Middle East,Black
X5,2024,South America,Black
i8,2023,Europe,Blue
i3,2023,North America,Silver
5 Series,2024,Asia,Blue
X6,2023,Africa,White
i3,2012,Asia,White
X3,2021,Asia,Silver
M3,2016,Africa,Black
i8,2013,Middle East,White
i3,2018,South America,Red
i8,2012,Middle East,Red
M5,2014,South America,Red
X5,2012,Middle East,Black
X6,2016,South America,Silver
M3,2014,Europe,Red
3 Series,2018,Africa,Black
M3,2016,South America,Grey
X6,2011,Middle East,Blue
i8,2013,South America,Black
X6,2018,Asia,Red
3 Series,2021,North America,Black
3 Series,2023,Europe,Black
M3,2011,Asia,Red
X3,2019,Asia,Silver
7 Series,2018,Middle East,Blue
3 Series,2019,South America,Silver
X6,2014,Europe,Grey
5 Series,2011,Middle East,Red
7 Series,2013,Asia,Red
i3,2021,South America,Red
X1,2024,Europe,Red
i3,2021,North America,Silver
X1,2016,Europe,Black
X3,2021,North America,Grey
X3,2022,Middle East,Grey
M3,2017,North America,Grey
M5,2024,North America,Black
7 Series,2012,South America,Silver
7 Series,2023,North America,Grey
X6,2010,Europe,Red
i8,2013,Middle East,Grey
M5,2011,North America,Grey
M5,2017,South America,White
X6,2013,South America,White
i8,2011,Middle East,Grey
X3,2023,Europe,Red
i8,2015,Middle East,Black
